phase,suite,device,sweep,ir_layout,tile_size,N,B,nmb,zones,nmu,rays_per_octant,rays_total,nlim,n_repeat,peak_mem_gib,pct_fill,oom,zcps_off_med,zcps_on_med,zcps_on_min,zcps_on_max,slowdown_med,t_rad_ms,t_hydro_ms,t_sweep_ms,rad_over_hydro,sweep_over_hydro,rad_cells_per_s,hydro_cells_per_s,gcaups,nang,niter,sm_util_mean,sm_util_peak,mem_util_mean,dcgm_sm_occ_mean,dcgm_sm_active_mean,sm_clock_mhz,gpu_temp_c,power_w
2,sweep,gh200,wavefront,normal,0,224,112,8,11239424,3,6,48,50,3,11.4677734375,11.998446935251504,False,979777000.0,133606400.0,133475500.0,133677800.0,7.333308883406783,3418.46661,444.68309999999997,3200.69,7.687421919114984,7.1976875217430125,164392771.41279435,1263756594.3027744,8.42775076624103,48.0,1.0,74.65384615384616,98.0,33.30769230769231,,,1980.0,46.0,453.2900000000001
2,sweep,gh200,wavefront,normal,0,224,112,8,11239424,6,21,168,50,3,26.72265625,27.959252485414474,False,979777000.0,46389420.0,46386310.0,46391380.0,21.120699504326634,10794.70499,446.03080000000006,10135.1,24.201703088665624,22.722870259183892,52059894.22782734,1259938102.9292145,9.315266904125268,168.0,1.0,91.46969696969697,100.0,37.92424242424242,,,1980.0,58.0,540.615
2,sweep,gh200,wavefront,normal,0,224,224,1,11239424,3,6,48,50,3,10.416015625,10.898018820692544,False,792984500.0,110279200.0,110104200.0,110309100.0,7.19069869930141,4259.48327,546.7434000000001,4044.56,7.790644148607919,7.3975470028536225,131934125.42737843,1027851822.2625091,6.669357754613604,48.0,1.0,79.48387096774194,96.0,31.580645161290324,,,1980.0,55.0,439.16645161290324
2,sweep,gh200,wavefront,normal,0,224,224,1,11239424,6,21,168,50,3,23.6533203125,24.747882416650487,False,792984500.0,40559140.0,40549880.0,40606230.0,19.55131445094743,12737.877199999999,548.1376,12083.8,23.238466399677744,22.04519449131021,44118120.40392413,1025237458.6235281,7.81303576689452,168.0,1.0,90.78666666666666,99.0,35.22666666666667,,,1980.0,59.0,520.6761333333333
