phase,suite,device,sweep,ir_layout,tile_size,N,B,nmb,zones,nmu,rays_per_octant,rays_total,nlim,n_repeat,peak_mem_gib,pct_fill,oom,zcps_off_med,zcps_on_med,zcps_on_min,zcps_on_max,slowdown_med,t_rad_ms,t_hydro_ms,t_sweep_ms,rad_over_hydro,sweep_over_hydro,rad_cells_per_s,hydro_cells_per_s,gcaups,nang,niter,sm_util_mean,sm_util_peak,mem_util_mean,dcgm_sm_occ_mean,dcgm_sm_active_mean,sm_clock_mhz,gpu_temp_c,power_w
2,sweep,b200,tiled,angle_inner,32,256,128,8,16777216,3,6,48,50,3,23.1416015625,12.506927181468404,False,1330377000.0,33772480.0,33769940.0,33777220.0,39.39233956167862,24060.876129999997,509.791,23248.6,47.197530223169885,45.60417896745921,34864100.35393836,1645499430.1586337,1.7319459408308457,48.0,1.0,22.01595744680851,100.0,0.9539007092198581,,,635.6826241134752,32.0,191.9036702127656
2,sweep,b200,tiled,angle_inner,32,256,128,8,16777216,6,21,168,50,3,61.5625,33.271582458529274,True,1330377000.0,,,,,-0.37555,0,0,,,-2233686060444.681,,,0.0,,0.23387096774193547,14.0,0.04838709677419355,,,552.983870967742,28.0,164.55233870967754
2,sweep,b200,tiled,angle_inner,64,256,128,8,16777216,3,6,48,50,3,23.138671875,12.505343825704198,False,1330377000.0,11029820.0,11028360.0,11032460.0,120.61638358558889,75286.77947,509.994,74474.3,147.62287295536808,146.02975721282996,11142205.9212171,1644844449.150382,0.5406605822411221,48.0,1.0,23.893844221105528,100.0,0.34484924623115576,,,611.1708542713568,29.0,176.26611809045247
2,sweep,b200,tiled,angle_inner,64,256,128,8,16777216,6,21,168,50,3,61.5625,33.271582458529274,True,1330377000.0,,,,,-0.374399,0,0,,,-2240552992930.0024,,,0.0,,0.5483870967741935,23.0,0.20967741935483872,,,650.0645161290323,27.0,167.07500000000022
2,sweep,b200,tiled,angle_inner,32,256,256,1,16777216,3,6,48,50,3,21.4033203125,11.56746942803912,False,1016371000.0,17487080.0,17486160.0,17503460.0,58.121252947890675,47000.754030000004,630.2099999999999,46197.7,74.5795116389775,73.30524745719681,17847815.79173316,1331081385.5698895,0.871587079010427,48.0,1.0,23.439453125,100.0,0.4326171875,,,623.9033203125,31.0,180.69639648437507
2,sweep,b200,tiled,angle_inner,32,256,256,1,16777216,6,21,168,50,3,56.48828125,30.52921027492334,True,1016371000.0,,,,,-0.375199,0,0,,,-2235775681704.9087,,,0.0,,0.6774193548387096,82.0,0.0,,,575.2741935483871,25.0,166.34500000000006
2,sweep,b200,tiled,angle_inner,64,256,256,1,16777216,3,6,48,50,3,21.400390625,11.565886072274912,False,1016371000.0,4991396.0,4991305.0,4993517.0,203.62459720687357,167030.64064,629.478,166228.0,265.3478606718583,264.07277140742013,5022197.10578726,1332629257.8930478,0.24222945833433596,48.0,1.0,24.476107226107224,100.0,0.17307692307692307,,,608.9682400932401,30.0,170.66858100233407
2,sweep,b200,tiled,angle_inner,64,256,256,1,16777216,6,21,168,50,3,56.4873046875,30.528682489668604,True,1016371000.0,,,,,-0.371934,0,0,,,-2255402302559.056,,,0.0,,0.7016129032258065,83.0,0.016129032258064516,,,576.75,27.0,165.95653225806458
