phase,suite,device,sweep,N,B,nmb,zones,nmu,rays_per_octant,rays_total,nlim,n_repeat,peak_mem_gib,pct_fill,oom,zcps_off_med,zcps_on_med,zcps_on_min,zcps_on_max,slowdown_med,t_rad_ms,t_hydro_ms,t_sweep_ms,rad_over_hydro,sweep_over_hydro,rad_cells_per_s,hydro_cells_per_s,gcaups,nang,niter,sm_util_mean,sm_util_peak,mem_util_mean,dcgm_sm_occ_mean,dcgm_sm_active_mean,sm_clock_mhz,gpu_temp_c,power_w
1,memfill,b200,wavefront,256,16,4096,16777216,6,21,168,3,1,109.7138671875,59.295090013775194,False,,42701210.0,,,,,,,,,,,,,,4.35,100.0,1.55,0.020214285714285716,0.04469285714285714,439.87857142857143,36.0,189.62199999999999
1,memfill,b200,wavefront,320,16,8000,32768000,6,21,168,3,1,182.052734375,98.3907827583113,True,,,,,,,,,,,,,,,,0.3223684210526316,42.0,0.28289473684210525,0.0009294871794871796,0.0013333333333333335,653.078947368421,29.0,181.4680263157894
1,memfill,b200,wavefront,384,16,13824,56623104,6,21,168,3,1,183.3173828125,99.07426466319384,True,,,,,,,,,,,,,,,,0.2361111111111111,30.0,0.2013888888888889,0.0005945945945945945,0.0008445945945945946,510.7083333333333,27.0,175.91222222222214
