device,arch,kind,method,regs,shared_bytes,stack_bytes,spills,occ_bs128,occ_bs256,occ_bs512,kernel
b200,sm_100,hydro,CalculateFluxes,56,0,0,no,0.562,0.5,0.5,CalculateFluxes
b200,sm_100,sweep,FormalSolutionWavefront,56,1024,0,no,0.562,0.5,0.5,FormalSolutionWavefront
b200,sm_100,hydro,CalculateFluxes,54,0,0,no,0.562,0.5,0.5,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,54,0,0,no,0.562,0.5,0.5,CalculateFluxes
b200,sm_100,sweep,SweepUpdateGS,52,1024,0,no,0.562,0.5,0.5,SweepUpdateGS
b200,sm_100,hydro,RKUpdate,48,0,0,no,0.625,0.625,0.5,RKUpdate
b200,sm_100,sweep,SweepUpdateGS,47,1024,0,no,0.625,0.625,0.5,SweepUpdateGS
b200,sm_100,hydro,CalculateFluxes,45,0,0,no,0.625,0.625,0.5,CalculateFluxes
b200,sm_100,hydro,RKUpdate,40,1040,0,no,0.75,0.75,0.75,RKUpdate
b200,sm_100,hydro,RKUpdate,40,0,0,no,0.75,0.75,0.75,RKUpdate
b200,sm_100,hydro,RKUpdate,40,1040,0,no,0.75,0.75,0.75,RKUpdate
b200,sm_100,hydro,RKUpdate,40,0,0,no,0.75,0.75,0.75,RKUpdate
b200,sm_100,hydro,RKUpdate,25,0,0,no,1.0,1.0,1.0,RKUpdate
b200,sm_100,other,,255,1040,224,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,1040,240,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,1040,152,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,1040,224,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,1040,240,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,1040,160,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,1040,216,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,1040,200,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,1040,152,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,1040,224,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,1040,208,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,1040,152,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,1040,376,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,1040,328,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,1040,368,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,1040,320,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,1040,432,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,1040,400,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,1040,248,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,1040,432,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,1040,400,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,1040,248,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,1040,208,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,1040,192,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,1040,200,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,1040,184,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,1040,200,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,1040,200,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,1040,200,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,1040,200,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,0,224,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,1024,1184,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,0,1024,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,0,3240,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,0,2576,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
b200,sm_100,other,,255,0,1544,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
