phase,suite,device,sweep,tile_size,N,B,nmb,zones,nmu,rays_per_octant,rays_total,nlim,n_repeat,peak_mem_gib,pct_fill,oom,zcps_off_med,zcps_on_med,zcps_on_min,zcps_on_max,slowdown_med,t_rad_ms,t_hydro_ms,t_sweep_ms,rad_over_hydro,sweep_over_hydro,rad_cells_per_s,hydro_cells_per_s,gcaups,nang,niter,sm_util_mean,sm_util_peak,mem_util_mean,dcgm_sm_occ_mean,dcgm_sm_active_mean,sm_clock_mhz,gpu_temp_c,power_w
2,sweep,gh200,tiled,0,224,224,1,11239424,3,6,48,50,3,10.435546875,10.918453883172749,False,790456600.0,88439890.0,88281430.0,88544080.0,8.937783617777,5452.53271,548.5114,5244.34,9.940600523526038,9.561041028500046,103066085.0450909,1024538778.9570099,5.143567655796534,48.0,1.0,86.56756756756756,100.0,23.72972972972973,,,1980.0,54.0,333.8151351351351
2,sweep,gh200,tiled,0,224,224,1,11239424,6,21,168,50,3,23.6708984375,24.766273972882672,False,790456600.0,33051180.0,33005970.0,33114590.0,23.916138546339344,15741.119829999998,548.3428,15103.4,28.706713811141494,27.543719002054917,35700839.970036626,1024853795.8372025,6.250987300872652,168.0,1.0,93.85555555555555,100.0,38.87777777777778,,,1980.0,57.0,414.17311111111104
