phase,suite,device,sweep,ir_layout,tile_size,N,B,nmb,zones,nmu,rays_per_octant,rays_total,nlim,n_repeat,peak_mem_gib,pct_fill,oom,zcps_off_med,zcps_on_med,zcps_on_min,zcps_on_max,slowdown_med,t_rad_ms,t_hydro_ms,t_sweep_ms,rad_over_hydro,sweep_over_hydro,rad_cells_per_s,hydro_cells_per_s,gcaups,nang,niter,sm_util_mean,sm_util_peak,mem_util_mean,dcgm_sm_occ_mean,dcgm_sm_active_mean,sm_clock_mhz,gpu_temp_c,power_w
2,sweep,gh200,tiled,normal,16,224,112,8,11239424,3,6,48,50,3,11.458984375,11.989251157135413,False,978150100.0,177596300.0,177522900.0,177602600.0,5.507716658511467,2362.34624,444.79239999999993,2144.44,5.311120963397756,4.821215470408219,237886889.94209418,1263446048.0889513,12.57886329298092,48.0,1.0,75.71428571428571,100.0,18.952380952380953,,,1980.0,56.0,410.31666666666666
2,sweep,gh200,tiled,normal,16,224,112,8,11239424,6,21,168,50,3,26.7138671875,27.950056707298383,False,978150100.0,64436490.0,64297480.0,64539380.0,15.180064898010428,7403.5518,446.4941,6743.3,16.581522129855692,15.10277515425176,75905621.40728185,1258630741.1452918,14.000735782183796,168.0,1.0,88.6938775510204,100.0,19.489795918367346,,,1980.0,58.0,453.3351020408163
2,sweep,gh200,tiled,normal,28,224,112,8,11239424,3,6,48,50,3,11.4580078125,11.988229404011403,False,978150100.0,145899800.0,145790500.0,145934500.0,6.704259361561839,3045.59399,446.82349999999997,2827.47,6.816100742239385,6.327934855709246,184519407.98582938,1257702873.7297838,9.540195864147101,48.0,1.0,76.84,100.0,33.32,,,1980.0,56.0,424.186
2,sweep,gh200,tiled,normal,28,224,112,8,11239424,6,21,168,50,3,26.71484375,27.951078460422394,False,978150100.0,58948970.0,58813430.0,58957010.0,16.593166937437584,8197.373599999999,446.75839999999994,7536.82,18.348560653811994,16.87001296450162,68555030.84548935,1257886141.5924134,12.526657343548075,168.0,1.0,89.69811320754717,100.0,33.301886792452834,,,1980.0,59.0,486.2828301886792
2,sweep,gh200,tiled,normal,16,224,224,1,11239424,3,6,48,50,3,10.375,10.855105189484117,False,789398800.0,165279800.0,165276500.0,165402100.0,4.776135982739572,2539.83169,548.4341,2324.36,4.631060851249038,4.2381755620228585,221263165.67063543,1024683184.36071,11.605180608855772,48.0,1.0,78.13636363636364,99.0,17.045454545454547,,,1980.0,55.0,386.4872727272727
2,sweep,gh200,tiled,normal,16,224,224,1,11239424,6,21,168,50,3,23.6103515625,24.70292527919404,False,789398800.0,63665410.0,63656290.0,63690200.0,12.399178769130678,7697.97948,548.3365,7043.65,14.038787277520282,12.845488126360364,73002428.943861,1024865570.6851541,13.403726988138253,168.0,1.0,89.85714285714286,100.0,17.224489795918366,,,1980.0,56.0,443.7620408163267
2,sweep,gh200,tiled,normal,28,224,224,1,11239424,3,6,48,50,3,10.376953125,10.857148695732137,False,789398800.0,133722800.0,133387200.0,133797600.0,5.903247613720323,3346.95992,548.8041,3131.64,6.098642338860078,5.70629847699753,167904968.51841596,1023992349.9113802,8.61357550676323,48.0,1.0,80.61538461538461,100.0,29.5,,,1980.0,54.0,397.2123076923077
2,sweep,gh200,tiled,normal,28,224,224,1,11239424,6,21,168,50,3,23.6142578125,24.70701229169008,False,789398800.0,58292800.0,58150860.0,58308800.0,13.541960585183762,8515.03096,548.731,7860.32,15.517677987939447,14.324541533100918,65997552.1686183,1024128762.5448536,12.011109166039041,168.0,1.0,90.62264150943396,100.0,31.50943396226415,,,1980.0,57.0,473.9254716981133
