phase,suite,device,sweep,N,B,nmb,zones,nmu,rays_per_octant,rays_total,nlim,n_repeat,peak_mem_gib,pct_fill,oom,zcps_off_med,zcps_on_med,zcps_on_min,zcps_on_max,slowdown_med,t_rad_ms,t_hydro_ms,t_sweep_ms,rad_over_hydro,sweep_over_hydro,rad_cells_per_s,hydro_cells_per_s,gcaups,nang,niter,sm_util_mean,sm_util_peak,mem_util_mean,dcgm_sm_occ_mean,dcgm_sm_active_mean,sm_clock_mhz,gpu_temp_c,power_w
1,memfill,gh200,wavefront,192,16,1728,7077888,6,21,168,3,1,46.5791015625,48.7345587559134,False,,31147010.0,,,,,,,,,,,,,,20.941176470588236,100.0,9.117647058823529,0.09783333333333334,0.19255555555555556,922.0588235294117,42.0,123.3670588235294
1,memfill,gh200,wavefront,224,16,2744,11239424,6,21,168,3,1,73.5576171875,76.96151055981854,False,,31213690.0,,,,,,,,,,,,,,45.583333333333336,100.0,18.5,0.21530769230769234,0.42353846153846153,1980.0,43.0,263.28000000000003
1,memfill,gh200,wavefront,256,16,4096,16777216,6,21,168,3,1,93.5439453125,97.87270999581081,True,,,,,,,,,,,,,,,,2.380952380952381,32.0,1.7619047619047619,0.007,0.009181818181818182,1905.0,36.0,149.49285714285713
1,memfill,gh200,wavefront,288,16,5832,23887872,6,21,168,3,1,90.6689453125,94.86466879872485,True,,,,,,,,,,,,,,,,2.6315789473684212,47.0,2.6315789473684212,0.00875,0.0115,1637.3684210526317,34.0,110.54
