device,arch,kind,method,regs,shared_bytes,stack_bytes,spills,occ_bs128,occ_bs256,occ_bs512,kernel
gh200,sm90,hydro,CalculateFluxes,110,1040,176,yes,0.25,0.25,0.25,CalculateFluxes
gh200,sm90,hydro,CalculateFluxes,110,1040,176,yes,0.25,0.25,0.25,CalculateFluxes
gh200,sm90,hydro,CalculateFluxes,109,1040,16,yes,0.25,0.25,0.25,CalculateFluxes
gh200,sm90,hydro,CalculateFluxes,109,1040,16,yes,0.25,0.25,0.25,CalculateFluxes
gh200,sm90,hydro,CalculateFluxes,108,1040,16,yes,0.25,0.25,0.25,CalculateFluxes
gh200,sm90,hydro,CalculateFluxes,108,1040,16,yes,0.25,0.25,0.25,CalculateFluxes
gh200,sm90,hydro,CalculateFluxes,106,1040,176,yes,0.25,0.25,0.25,CalculateFluxes
gh200,sm90,hydro,CalculateFluxes,106,1040,16,yes,0.25,0.25,0.25,CalculateFluxes
gh200,sm90,hydro,CalculateFluxes,104,1040,16,yes,0.25,0.25,0.25,CalculateFluxes
gh200,sm90,hydro,CalculateFluxes,104,1040,16,yes,0.25,0.25,0.25,CalculateFluxes
gh200,sm90,hydro,CalculateFluxes,103,1040,16,yes,0.25,0.25,0.25,CalculateFluxes
gh200,sm90,hydro,CalculateFluxes,103,1040,16,yes,0.25,0.25,0.25,CalculateFluxes
gh200,sm90,hydro,CalculateFluxes,98,1040,16,yes,0.25,0.25,0.25,CalculateFluxes
gh200,sm90,hydro,CalculateFluxes,96,1040,16,yes,0.312,0.25,0.25,CalculateFluxes
gh200,sm90,hydro,CalculateFluxes,96,1040,16,yes,0.312,0.25,0.25,CalculateFluxes
gh200,sm90,hydro,CalculateFluxes,96,1040,16,yes,0.312,0.25,0.25,CalculateFluxes
gh200,sm90,hydro,CalculateFluxes,96,1040,16,yes,0.312,0.25,0.25,CalculateFluxes
gh200,sm90,sweep,FormalSolutionDiagonal,94,1040,0,no,0.312,0.25,0.25,FormalSolutionDiagonal
gh200,sm90,hydro,CalculateFluxes,92,1040,16,yes,0.312,0.25,0.25,CalculateFluxes
gh200,sm90,hydro,CalculateFluxes,92,1040,16,yes,0.312,0.25,0.25,CalculateFluxes
gh200,sm90,hydro,CalculateFluxes,92,1040,16,yes,0.312,0.25,0.25,CalculateFluxes
gh200,sm90,hydro,CalculateFluxes,92,1040,16,yes,0.312,0.25,0.25,CalculateFluxes
gh200,sm90,hydro,CalculateFluxes,89,1040,16,yes,0.312,0.25,0.25,CalculateFluxes
gh200,sm90,hydro,CalculateFluxes,88,1040,16,yes,0.312,0.25,0.25,CalculateFluxes
gh200,sm90,hydro,CalculateFluxes,82,1040,16,yes,0.312,0.25,0.25,CalculateFluxes
gh200,sm90,sweep,SweepUpdateGS,66,1024,0,no,0.438,0.375,0.25,SweepUpdateGS
gh200,sm90,sweep,SweepUpdateGS,64,1024,0,no,0.5,0.5,0.5,SweepUpdateGS
gh200,sm90,sweep,FormalSolutionJacobi,62,1024,0,no,0.5,0.5,0.5,FormalSolutionJacobi
gh200,sm90,sweep,FormalSolutionWavefront,60,1024,0,no,0.5,0.5,0.5,FormalSolutionWavefront
gh200,sm90,sweep,FormalSolutionWavefront,58,1024,0,no,0.5,0.5,0.5,FormalSolutionWavefront
gh200,sm90,hydro,CalculateFluxes,56,0,0,no,0.562,0.5,0.5,CalculateFluxes
gh200,sm90,hydro,CalculateFluxes,56,0,0,no,0.562,0.5,0.5,CalculateFluxes
gh200,sm90,sweep,SweepUpdateGS,56,1024,0,no,0.562,0.5,0.5,SweepUpdateGS
gh200,sm90,hydro,CalculateFluxes,54,0,0,no,0.562,0.5,0.5,CalculateFluxes
gh200,sm90,sweep,FormalSolutionWavefront,54,1024,0,no,0.562,0.5,0.5,FormalSolutionWavefront
gh200,sm90,hydro,RKUpdate,52,1032,0,no,0.562,0.5,0.5,RKUpdate
gh200,sm90,hydro,RKUpdate,48,0,0,no,0.625,0.625,0.5,RKUpdate
gh200,sm90,sweep,SweepUpdateGS,47,1024,0,no,0.625,0.625,0.5,SweepUpdateGS
gh200,sm90,hydro,CalculateFluxes,44,0,0,no,0.625,0.625,0.5,CalculateFluxes
gh200,sm90,hydro,RKUpdate,43,1040,16,yes,0.625,0.625,0.5,RKUpdate
gh200,sm90,hydro,RKUpdate,43,1040,16,yes,0.625,0.625,0.5,RKUpdate
gh200,sm90,hydro,RKUpdate,39,0,0,no,0.75,0.75,0.75,RKUpdate
