phase,suite,device,sweep,ir_layout,tile_size,N,B,nmb,zones,nmu,rays_per_octant,rays_total,nlim,n_repeat,peak_mem_gib,pct_fill,oom,zcps_off_med,zcps_on_med,zcps_on_min,zcps_on_max,slowdown_med,t_rad_ms,t_hydro_ms,t_sweep_ms,rad_over_hydro,sweep_over_hydro,rad_cells_per_s,hydro_cells_per_s,gcaups,nang,niter,sm_util_mean,sm_util_peak,mem_util_mean,dcgm_sm_occ_mean,dcgm_sm_active_mean,sm_clock_mhz,gpu_temp_c,power_w
2,sweep,gh200,wavefront,normal,0,112,112,1,1404928,3,6,48,50,3,1.9921875,2.0843763729807603,False,426753900.0,83047280.0,82892050.0,83064030.0,5.1386860593146455,666.9124800000001,124.0075,635.461,5.378001169284117,5.124375541801908,105330762.44127265,566468963.5707518,5.306111940780001,48.0,1.0,35.55555555555556,87.0,9.333333333333334,,,1980.0,40.0,232.71444444444444
2,sweep,gh200,wavefront,normal,0,112,112,1,1404928,6,21,168,50,3,3.9296875,4.111534571016951,False,426753900.0,37918430.0,37884030.0,37954040.0,11.254524514859924,1596.8538800000001,123.04490000000001,1509.77,12.977814440094631,12.270073769818984,43990499.61916365,570900541.1845593,7.816684130695404,168.0,1.0,63.285714285714285,94.0,21.785714285714285,,,1980.0,48.0,370.1328571428572
