phase,suite,device,sweep,ir_layout,N,B,nmb,zones,nmu,rays_per_octant,rays_total,nlim,n_repeat,peak_mem_gib,pct_fill,oom,zcps_off_med,zcps_on_med,zcps_on_min,zcps_on_max,slowdown_med,t_rad_ms,t_hydro_ms,t_sweep_ms,rad_over_hydro,sweep_over_hydro,rad_cells_per_s,hydro_cells_per_s,gcaups,nang,niter,sm_util_mean,sm_util_peak,mem_util_mean,dcgm_sm_occ_mean,dcgm_sm_active_mean,sm_clock_mhz,gpu_temp_c,power_w
1,memfill,a100,wavefront,angle_inner,112,16,343,1404928,6,21,168,3,1,13.1240234375,32.81005859375,False,,5505132.0,,,,,,,,,,,,,,12.433333333333334,92.0,2.1333333333333333,0.261116935483871,0.3413911290322581,546.0,37.0,54.23466666666666
1,memfill,a100,wavefront,angle_inner,128,16,512,2097152,6,21,168,3,1,19.3603515625,48.40087890625,False,,13008080.0,,,,,,,,,,,,,,8.090909090909092,99.0,2.6363636363636362,0.2649431818181818,0.3552215909090909,834.5454545454545,38.0,73.71545454545455
1,memfill,a100,wavefront,angle_inner,144,16,729,2985984,6,21,168,3,1,27.2001953125,68.00048828125,False,,12953090.0,,,,,,,,,,,,,,31.904761904761905,100.0,6.476190476190476,0.2838636363636364,0.4031306818181818,1220.0,41.0,95.1842857142857
1,memfill,a100,wavefront,angle_inner,160,16,1000,4096000,6,21,168,3,1,37.2158203125,93.03955078125,False,,13295760.0,,,,,,,,,,,,,,37.0,100.0,8.0,0.28879166666666667,0.4155052083333333,1098.9130434782608,43.0,99.26086956521739
1,memfill,a100,wavefront,angle_inner,176,16,1331,5451776,6,21,168,3,1,39.1494140625,97.87353515625,True,,,,,,,,,,,,,,,,22.444444444444443,100.0,2.2777777777777777,0.28323611111111113,0.40305555555555556,1197.5,38.0,81.3488888888889
