phase,suite,device,sweep,N,B,nmb,zones,nmu,rays_per_octant,rays_total,nlim,n_repeat,peak_mem_gib,pct_fill,oom,zcps_off_med,zcps_on_med,zcps_on_min,zcps_on_max,slowdown_med,t_rad_ms,t_hydro_ms,t_sweep_ms,rad_over_hydro,sweep_over_hydro,rad_cells_per_s,hydro_cells_per_s,gcaups,nang,niter,sm_util_mean,sm_util_peak,mem_util_mean,dcgm_sm_occ_mean,dcgm_sm_active_mean,sm_clock_mhz,gpu_temp_c,power_w
1,memfill,a100,wavefront,128,16,512,2097152,6,21,168,3,1,14.2314453125,35.57861328125,False,,13560790.0,,,,,,,,,,,,,,13.15,98.0,5.0,0.31853906249999997,0.5383125,755.25,37.0,64.15950000000001
1,memfill,a100,wavefront,144,16,729,2985984,6,21,168,3,1,19.8994140625,49.74853515625,False,,13867530.0,,,,,,,,,,,,,,16.85,98.0,7.1,0.3067125,0.5228125,1041.75,40.0,101.7755
1,memfill,a100,wavefront,160,16,1000,4096000,6,21,168,3,1,27.2021484375,68.00537109375,False,,14944680.0,,,,,,,,,,,,,,35.42857142857143,100.0,9.666666666666666,0.3120340909090909,0.5378977272727273,1210.7142857142858,41.0,111.18571428571428
1,memfill,a100,wavefront,176,16,1331,5451776,6,21,168,3,1,35.8447265625,89.61181640625,False,,14875000.0,,,,,,,,,,,,,,41.17391304347826,100.0,11.826086956521738,0.31471739130434784,0.5380760869565218,1207.8260869565217,43.0,118.57217391304347
1,memfill,a100,wavefront,192,16,1728,7077888,6,21,168,3,1,38.4150390625,96.03759765625,True,,,,,,,,,,,,,,,,26.333333333333332,100.0,2.2222222222222223,0.3110328947368421,0.5305526315789474,1240.0,39.0,83.86666666666666
