phase,suite,device,sweep,N,B,nmb,zones,nmu,rays_per_octant,rays_total,nlim,n_repeat,peak_mem_gib,pct_fill,oom,zcps_off_med,zcps_on_med,zcps_on_min,zcps_on_max,slowdown_med,t_rad_ms,t_hydro_ms,t_sweep_ms,rad_over_hydro,sweep_over_hydro,rad_cells_per_s,hydro_cells_per_s,gcaups,nang,niter,sm_util_mean,sm_util_peak,mem_util_mean,dcgm_sm_occ_mean,dcgm_sm_active_mean,sm_clock_mhz,gpu_temp_c,power_w
2,sweep,a100,diagonal,176,16,1331,5451776,1,1,8,50,3,6.4541015625,16.13525390625,False,114078000.0,87595910.0,86624680.0,87637090.0,1.3023210786896329,417.70925,1866.209,297.005,0.22382769025334245,0.15914884131412932,652580233.739138,146065526.4228176,7.3423356509149675,8.0,1.0,40.47222222222222,97.0,10.36111111111111,0.34720486111111115,0.6271979166666667,1060.4166666666667,46.0,128.26805555555555
2,sweep,a100,diagonal,176,16,1331,5451776,2,3,24,50,3,9.3876953125,23.46923828125,False,114078000.0,64136420.0,64077980.0,64233640.0,1.7786773879801836,1053.49846,1906.693,867.675,0.5525265262944795,0.45506801566901434,258746272.87067893,142964179.34087974,7.539840608522777,24.0,1.0,53.82051282051282,98.0,13.35897435897436,0.359925,0.65381875,1165.7692307692307,51.0,147.65307692307692
2,sweep,a100,diagonal,176,16,1331,5451776,3,6,48,50,3,13.8017578125,34.50439453125,False,114078000.0,45996600.0,45813180.0,46156150.0,2.4801398364226923,2046.8017,1943.743,1749.59,1.0530207439975348,0.9001138525000476,133177923.39140621,140239115.97366524,7.478473470927475,48.0,1.0,63.95744680851064,99.0,15.702127659574469,0.3720265957446809,0.6798484042553191,1254.2553191489362,53.0,168.99021276595744
2,sweep,a100,diagonal,176,16,1331,5451776,4,10,80,50,3,19.7001953125,49.25048828125,False,114078000.0,33100520.0,33058260.0,33119210.0,3.446411113783107,3455.03267,1944.058,3008.38,1.777227155774159,1.547474406627786,78896157.0079741,140216392.7207933,7.248786390017218,80.0,1.0,74.78947368421052,100.0,18.017543859649123,0.3806099137931035,0.6922543103448277,1262.8947368421052,58.0,190.32719298245613
2,sweep,a100,diagonal,176,16,1331,5451776,5,15,120,50,3,26.9931640625,67.48291015625,False,114078000.0,24141040.0,24118440.0,24162260.0,4.725479929613638,5258.42906,1942.4940000000001,4630.93,2.7070503486754656,2.384012511750358,51838447.73594797,140329288.01839283,7.063517695149786,120.0,1.0,82.15068493150685,100.0,19.506849315068493,0.39438175675675674,0.7212956081081081,1314.4520547945206,61.0,202.72082191780822
2,sweep,a100,diagonal,176,16,1331,5451776,6,21,168,50,3,35.8447265625,89.61181640625,False,114078000.0,18120810.0,18099860.0,18151740.0,6.295413946727547,7357.69941,1928.565,6511.87,3.815116114831494,3.3765364403066527,37048102.24096937,141342811.88344702,7.032529580596664,168.0,1.0,81.9278350515464,100.0,18.95876288659794,0.391765306122449,0.7132780612244899,1256.2886597938145,65.0,203.5223711340206
2,sweep,a100,diagonal,176,22,512,5451776,1,1,8,50,3,5.3447265625,13.36181640625,False,154747300.0,109870400.0,109723000.0,110470200.0,1.4084530501390728,573.8311,1418.627,470.244,0.40449751767025444,0.3314782532688297,475033158.7116836,192149733.50993603,4.637401859460194,8.0,1.0,42.86206896551724,98.0,15.10344827586207,0.3229784482758621,0.5821422413793103,1146.7241379310344,56.0,135.70344827586206
2,sweep,a100,diagonal,176,22,512,5451776,2,3,24,50,3,7.5888671875,18.97216796875,False,154747300.0,81071100.0,80845130.0,82070570.0,1.9087850047674202,1131.30644,1439.539,965.481,0.78588106331263,0.6706876298592813,240950453.7073085,189358398.76516026,6.776033086099053,24.0,1.0,46.484848484848484,99.0,14.424242424242424,0.34623863636363633,0.6248068181818182,1151.3636363636363,58.0,148.77151515151516
2,sweep,a100,diagonal,176,22,512,5451776,3,6,48,50,3,10.9716796875,27.42919921875,False,154747300.0,56868040.0,56733270.0,56921790.0,2.721164647137478,2129.32899,1468.1750000000002,1854.48,1.4503236943824815,1.2631191785720366,128016291.17912869,185665060.3640574,7.055488546654588,48.0,1.0,60.425,99.0,17.05,0.3561463414634146,0.6464695121951219,1182.75,58.0,166.286
2,sweep,a100,diagonal,176,22,512,5451776,4,10,80,50,3,15.3974609375,38.49365234375,False,154747300.0,40088680.0,39998860.0,40219380.0,3.8601246037534787,3535.0127300000004,1478.101,3112.26,2.3915907843915942,2.1055800652323486,77111122.59558962,184418250.1737026,7.0068387602578195,80.0,1.0,71.48,100.0,18.9,0.3720367647058824,0.6795784313725489,1281.3,60.0,178.2876
