phase,suite,device,sweep,ir_layout,tile_size,N,B,nmb,zones,nmu,rays_per_octant,rays_total,nlim,n_repeat,peak_mem_gib,pct_fill,oom,zcps_off_med,zcps_on_med,zcps_on_min,zcps_on_max,slowdown_med,t_rad_ms,t_hydro_ms,t_sweep_ms,rad_over_hydro,sweep_over_hydro,rad_cells_per_s,hydro_cells_per_s,gcaups,nang,niter,sm_util_mean,sm_util_peak,mem_util_mean,dcgm_sm_occ_mean,dcgm_sm_active_mean,sm_clock_mhz,gpu_temp_c,power_w
2,sweep,b200,wavefront,angle_inner,0,256,128,8,16777216,3,6,48,50,3,23.15625,12.514843960289438,False,1328769000.0,185290100.0,185178100.0,185470100.0,7.171289777489461,3825.4289800000006,509.383,3013.09,7.509926675998219,5.915175810735734,219285419.85374928,1646817424.217141,13.363463554025934,48.0,1.0,14.151315789473685,96.0,4.2368421052631575,,,759.625,39.0,238.9594736842105
2,sweep,b200,wavefront,angle_inner,0,256,128,8,16777216,6,21,168,50,3,61.56640625,33.27369359954822,True,1328769000.0,,,,,-0.379838,0,0,,,-2208469926652.9414,,,0.0,,0.5078125,34.0,0.140625,,,626.125,26.0,165.82710937500002
2,sweep,b200,wavefront,angle_inner,0,256,256,1,16777216,3,6,48,50,3,21.47265625,11.604942181125343,False,1015171000.0,162074800.0,161949000.0,162130300.0,6.263595574389109,4337.7558,630.361,3534.75,6.881383524678716,5.607501098576847,193385897.84145987,1330762531.3114233,11.391277572671335,48.0,1.0,14.178571428571429,94.0,3.9166666666666665,,,666.3392857142857,38.0,230.93499999999983
2,sweep,b200,wavefront,angle_inner,0,256,256,1,16777216,6,21,168,50,3,56.4931640625,30.531849201197016,True,1015171000.0,,,,,-0.37923,0,0,,,-2212010653165.625,,,0.0,,0.45161290322580644,31.0,0.0967741935483871,,,543.016129032258,28.0,164.13250000000008
