phase,suite,device,sweep,ir_layout,tile_size,N,B,nmb,zones,nmu,rays_per_octant,rays_total,nlim,n_repeat,peak_mem_gib,pct_fill,oom,zcps_off_med,zcps_on_med,zcps_on_min,zcps_on_max,slowdown_med,t_rad_ms,t_hydro_ms,t_sweep_ms,rad_over_hydro,sweep_over_hydro,rad_cells_per_s,hydro_cells_per_s,gcaups,nang,niter,sm_util_mean,sm_util_peak,mem_util_mean,dcgm_sm_occ_mean,dcgm_sm_active_mean,sm_clock_mhz,gpu_temp_c,power_w
2,sweep,b200,tiled,normal,32,256,128,8,16777216,3,6,48,50,3,16.55859375,8.94912677929604,False,1327092000.0,278342100.0,278024400.0,278387000.0,4.7678450367371665,2232.71868,509.646,1953.3,4.380920639031799,3.8326603171613236,375712716.30154496,1645967593.1921372,20.613996006757795,48.0,1.0,12.024193548387096,99.0,3.088709677419355,,,715.1451612903226,41.0,232.835806451613
2,sweep,b200,tiled,normal,32,256,128,8,16777216,6,21,168,50,3,38.5322265625,20.824822796100722,False,1327092000.0,107241900.0,107162000.0,107243200.0,12.374752778531526,6749.46605,509.413,5882.33,13.249497068194175,11.547271074746815,124285505.51787724,1646720440.9781454,23.957957884035746,168.0,1.0,17.24561403508772,100.0,2.8991228070175437,,,648.3728070175439,42.0,262.79013157894695
2,sweep,b200,tiled,normal,64,256,128,8,16777216,3,6,48,50,3,16.560546875,8.95018234980551,False,1327092000.0,185489600.0,185325500.0,185659600.0,7.15453588772632,3735.23955,509.486,3455.86,7.3313880067362005,6.783032310995789,224580187.9025403,1646484496.1392462,11.651316430642444,48.0,1.0,15.0,100.0,7.519736842105263,,,768.421052631579,38.0,244.70190789473682
2,sweep,b200,tiled,normal,64,256,128,8,16777216,6,21,168,50,3,38.53515625,20.82640615186493,False,1327092000.0,66548630.0,66508000.0,66566240.0,19.941687755255067,11531.887299999999,509.559,10664.4,22.63111298200993,20.928685392663066,72742715.75650935,1646248618.9037971,13.214865758973783,168.0,1.0,20.015822784810126,100.0,8.417721518987342,,,669.743670886076,42.0,271.3967088607592
2,sweep,b200,tiled,normal,32,256,256,1,16777216,3,6,48,50,3,15.119140625,8.171171313815835,False,1012840000.0,242841100.0,242712300.0,242909700.0,4.1707931647484715,2485.5401300000003,630.84,2207.54,3.940048395789741,3.499365924798681,337496381.520905,1329752076.5962842,18.2399043278944,48.0,1.0,12.93939393939394,99.0,2.6515151515151514,,,704.2121212121212,39.0,225.34575757575752
2,sweep,b200,tiled,normal,32,256,256,1,16777216,6,21,168,50,3,34.4931640625,18.641902982514473,False,1012840000.0,103340600.0,103340200.0,103354800.0,9.800988188572546,6973.8395199999995,630.958,6111.08,11.052779297512672,9.685399028144504,120286794.32531594,1329503390.0830166,23.061163395013644,168.0,1.0,17.25438596491228,100.0,2.789473684210526,,,633.6842105263158,41.0,260.3515789473679
2,sweep,b200,tiled,normal,64,256,256,1,16777216,3,6,48,50,3,15.1201171875,8.17169909907057,False,1012840000.0,162103800.0,161872900.0,162106000.0,6.248095356185358,4208.61604,630.946,3930.36,6.670326842550709,6.229312809654075,199319869.53126758,1329528675.9881194,10.244689646749917,48.0,1.0,15.11046511627907,100.0,5.372093023255814,,,660.3662790697674,37.0,228.35569767441848
2,sweep,b200,tiled,normal,64,256,256,1,16777216,6,21,168,50,3,34.498046875,18.644541908788153,False,1012840000.0,64336020.0,64307720.0,64338980.0,15.742969490496925,11891.1461,631.088,11028.4,18.842294735441016,17.47521740232741,70544991.45376743,1329229521.0810537,12.778699938341012,168.0,1.0,20.179012345679013,100.0,7.577160493827161,,,625.6327160493827,42.0,263.5830864197527
